trade_id,setup_type,direction,entry_timestamp_ist,entry_price,actual_exit_price,orig_result_state,orig_pnl_points,orig_opt_pnl_rupees,hybrid_result_state,hybrid_pnl_points,hybrid_opt_pnl_rupees,sl_used,config_used,pnl_difference,opt_pnl_difference
f6cf83c4-9d35-4bdc-b0bc-d961b65586fd,EXHAUSTION_REVERSAL,BULLISH,2026-06-24 13:16:00 IST,24036.3,24013.95,SL_HIT,-22.35,-838.125,SL_HIT,-22.35,-838.125,12.0,OLD (Original),0.0,0.0
886a6340-2042-4a3c-89eb-15c1952f5e89,EXHAUSTION_REVERSAL,BULLISH,2026-06-24 15:00:00 IST,24042.1,24135.5,T2_HIT,93.4,3502.5,T2_HIT,93.4,3502.5,12.0,OLD (Original),0.0,0.0
3a37c0ce-928a-472f-bdd0-a935ec19cd7b,EXHAUSTION_REVERSAL,BULLISH,2026-06-24 15:00:00 IST,24044.9,24135.5,T2_HIT,90.6,3397.5,T2_HIT,90.6,3397.5,12.0,OLD (Original),0.0,0.0
e2ed84ec-138e-4383-a6a5-a301311d8c18,OI_WALL_REJECTION,BULLISH,2026-06-25 09:18:00 IST,24120.15,24191.1,T2_HIT,70.95,2660.625,T2_HIT,40.0,1500.0,16.0,NEW (SL 16.0),-30.95,-1160.62
4c329293-ed26-4c16-9e23-1682ab551b90,EXHAUSTION_REVERSAL,BEARISH,2026-06-25 13:52:00 IST,24202.45,24202.45,TIME_STOP,0.0,0.0,TIME_STOP,0.0,0.0,12.0,OLD (Original),0.0,0.0
abf4b830-dd6e-4ad9-9b33-c84b3d3d00f8,OI_WALL_REJECTION,BEARISH,2026-06-25 14:14:00 IST,24139.1,24061.85,T2_HIT,77.25,2896.875,T2_HIT,40.0,1500.0,16.0,NEW (SL 16.0),-37.25,-1396.88
848078fa-bc63-4d08-908c-370e96a936ed,FAILED_BREAKOUT,BEARISH,2026-06-25 14:48:00 IST,24087.3,24087.3,TIME_STOP,0.0,0.0,TIME_STOP,0.0,0.0,15.0,OLD (Original),0.0,0.0
dd02e5da-9af2-422e-8776-4f3c6a94de14,OI_WALL_REJECTION,BULLISH,2026-06-29 09:42:00 IST,24076.0,24066.4,T1_HIT,-9.6,-341.79,SL_HIT,-16.0,-569.65,16.0,NEW (SL 16.0),-6.4,-227.86
81e9d686-5282-41a5-93d3-3953e0e51ac9,OI_WALL_REJECTION,BULLISH,2026-06-29 10:26:00 IST,24108.9,24066.4,SL_HIT,-42.5,-1706.75,SL_HIT,-16.0,-642.54,16.0,NEW (SL 16.0),26.5,1064.21
987ef651-d542-4135-956c-b91541cf361d,OI_WALL_REJECTION,BEARISH,2026-06-29 12:32:00 IST,23946.35,23976.35,SL_HIT,-30.0,-1099.48,SL_HIT,-16.0,-586.39,16.0,NEW (SL 16.0),14.0,513.09
