entry_timestamp_ist,setup_type,direction,entry_price,actual_exit_price,orig_result_state,orig_pnl_points,orig_opt_pnl_rupees,hybrid_result_state,hybrid_pnl_points,hybrid_opt_pnl_rupees,pnl_difference,config_used
2026-07-20 10:00:00 IST,TREND_CONTINUATION,BEARISH,24181.4,24206.4,SL_HIT,-25.0,-959.27,SL_HIT,-25.0,-959.27,0.0,OLD (Original)
2026-07-20 11:40:00 IST,TREND_CONTINUATION,BEARISH,24206.2,24206.2,STOPPED_OUT_AT_BE,0.0,0.0,STOPPED_OUT_AT_BE,0.0,0.0,0.0,OLD (Original)
2026-07-20 13:15:00 IST,EXHAUSTION_REVERSAL,BULLISH,24222.4,24222.4,STOPPED_OUT_AT_BE,0.0,0.0,STOPPED_OUT_AT_BE,0.0,0.0,0.0,OLD (Original)
2026-07-20 14:12:00 IST,TREND_CONTINUATION,BULLISH,24256.6,24231.6,SL_HIT,-25.0,-1003.63,SL_HIT,-25.0,-1003.63,0.0,OLD (Original)
2026-07-20 14:48:00 IST,TREND_CONTINUATION,BEARISH,24239.05,24239.05,TIME_STOP,0.0,0.0,TIME_STOP,0.0,0.0,0.0,OLD (Original)
2026-07-20 15:12:00 IST,TREND_CONTINUATION,BEARISH,24237.45,24237.45,TIME_STOP,0.0,0.0,TIME_STOP,0.0,0.0,0.0,OLD (Original)
2026-07-21 13:25:00 IST,TREND_CONTINUATION,BEARISH,24165.45,24190.45,SL_HIT,-25.0,-742.37,SL_HIT,-25.0,-742.37,0.0,OLD (Original)
2026-07-21 15:12:00 IST,TREND_CONTINUATION,BULLISH,24186.1,24186.1,TIME_STOP,0.0,0.0,TIME_STOP,0.0,0.0,0.0,OLD (Original)
2026-07-22 10:03:00 IST,EXHAUSTION_REVERSAL,BEARISH,24023.25,24035.25,SL_HIT,-12.0,-434.21,SL_HIT,-12.0,-434.21,0.0,OLD (Original)
2026-07-22 10:17:00 IST,EXHAUSTION_REVERSAL,BULLISH,24022.05,24010.05,SL_HIT,-12.0,-415.1,SL_HIT,-12.0,-415.1,0.0,OLD (Original)
2026-07-22 11:20:00 IST,TREND_CONTINUATION,BEARISH,24024.45,24049.45,SL_HIT,-25.0,-902.57,SL_HIT,-25.0,-902.57,0.0,OLD (Original)
2026-07-22 14:17:00 IST,EXHAUSTION_REVERSAL,BEARISH,23985.6,23985.6,TIME_STOP,0.0,0.0,TIME_STOP,0.0,0.0,0.0,OLD (Original)
2026-07-22 15:21:00 IST,TREND_CONTINUATION,BEARISH,24006.05,23926.05,T2_HIT,80.0,2721.72,T2_HIT,80.0,2721.72,0.0,OLD (Original)
2026-07-23 09:19:00 IST,OI_WALL_REJECTION,BULLISH,23907.7,23907.7,STOPPED_OUT_AT_BE,0.0,0.0,T2_HIT,40.0,1492.41,40.0,NEW (SL 16.0)
2026-07-23 10:40:00 IST,TREND_CONTINUATION,BULLISH,23973.45,23973.45,TIME_STOP,0.0,0.0,TIME_STOP,0.0,0.0,0.0,OLD (Original)
2026-07-23 14:35:00 IST,EXHAUSTION_REVERSAL,BEARISH,23889.4,23849.4,T2_HIT,40.0,1410.18,T2_HIT,40.0,1410.18,0.0,OLD (Original)
