trade_id,signal_id,setup_type,direction,confidence,result_state,score,entry_timestamp_ist,exit_timestamp_ist,duration_minutes,entry_price,exit_price,pnl_points,est_option_pnl_rupees,spot_at_signal,stop_loss,target_1,target_2,strike,option_type,suggested_lots,capital_allocated,risk_pct,option_premium,option_sl,option_target,option_delta,pcr,atm_ce_oi,atm_pe_oi,ce_oi_change_pct,pe_oi_change_pct,active_trade_state,signal_reasons,entry_timestamp_utc,exit_timestamp_utc
f6cf83c4-9d35-4bdc-b0bc-d961b65586fd,156,EXHAUSTION_REVERSAL,BULLISH,MEDIUM,SL_HIT,0,2026-06-24 13:16:00 IST,2026-06-24 15:12:43 IST,116.7,24036.3,24013.95,-22.35,,24036.3,24015.35,24106.3,24135.5,24050,CE,,,,,,,,0.6536,3032705,1982110,-2.55,3.02,,Volume climax detected (2.8x average volume) | Candle formed a doji-like indecision pattern at 1:16pm | Target 2 set at structural resistance: 24135.50,2026-06-24T07:46:00+00:00,2026-06-24T09:42:43.451020+00:00
886a6340-2042-4a3c-89eb-15c1952f5e89,158,EXHAUSTION_REVERSAL,BULLISH,MEDIUM,T2_HIT,2,2026-06-24 15:00:00 IST,2026-07-03 09:15:24 IST,12615.4,24042.1,24135.5,93.4,,24042.1,23997.8,24112.1,24135.5,24050,CE,,,,,,,,1.0041,3174860,3187860,-6.86,-1.83,CLOSED,Volume climax detected (2.6x average volume) | Candle formed a doji-like indecision pattern at 3:00pm | Target 2 set at structural resistance: 24135.50,2026-06-24T09:30:00+00:00,2026-07-03T03:45:24.195296+00:00
3a37c0ce-928a-472f-bdd0-a935ec19cd7b,157,EXHAUSTION_REVERSAL,BULLISH,MEDIUM,T2_HIT,2,2026-06-24 15:00:00 IST,2026-07-03 09:15:23 IST,12615.4,24044.9,24135.5,90.6,,24044.9,23997.8,24114.9,24135.5,24050,CE,,,,,,,,0.9526,3408795,3247270,0.65,-0.29,CLOSED,Volume climax detected (2.9x average volume) | Candle formed a doji-like indecision pattern at 3:00pm | Target 2 set at structural resistance: 24135.50,2026-06-24T09:30:00+00:00,2026-07-03T03:45:23.445740+00:00
e2ed84ec-138e-4383-a6a5-a301311d8c18,159,OI_WALL_REJECTION,BULLISH,HIGH,T2_HIT,2,2026-06-25 09:18:00 IST,2026-06-25 10:47:25 IST,89.4,24120.15,24191.1,70.95,,24120.15,24075.0,24155.15,24190.15,24100,CE,,,,,,,,0.6253,7349875,4596020,5.59,6.54,,Price approached massive OI wall at 24100.0 | Wall size: 46.0L contracts (+6.5% change) | Candle showed clear rejection/bounce | Option writers defended the level (OI did not drop),2026-06-25T03:48:00+00:00,2026-06-25T05:17:25.044465+00:00
4c329293-ed26-4c16-9e23-1682ab551b90,160,EXHAUSTION_REVERSAL,BEARISH,MEDIUM,TIME_STOP,0,2026-06-25 13:52:00 IST,2026-07-03 09:15:24 IST,11243.4,24202.45,24202.45,0.0,,24202.45,24224.2,24090.050000000003,23789.25,24200,PE,,,,,,,,0.8894,11910275,10592855,-0.09,0.11,CLOSED,Volume climax detected (2.7x average volume) | Candle formed a doji-like indecision pattern at 1:52pm | Target 1 set at structural support: 24090.05 | Target 2 set at structural support: 23789.25,2026-06-25T08:22:00+00:00,2026-07-03T03:45:24.682827+00:00
abf4b830-dd6e-4ad9-9b33-c84b3d3d00f8,161,OI_WALL_REJECTION,BEARISH,HIGH,T2_HIT,2,2026-06-25 14:14:00 IST,2026-06-25 15:01:00 IST,47.0,24139.1,24061.85,77.25,,24139.1,24175.0,24104.1,24069.1,24150,PE,,,,,,,,1.4079,4180735,5886205,6.91,-1.92,,Price approached massive OI wall at 24150.0 | Wall size: 41.8L contracts (+6.9% change) | Candle showed clear rejection/bounce | Option writers defended the level (OI did not drop),2026-06-25T08:44:00+00:00,2026-06-25T09:31:00.782019+00:00
848078fa-bc63-4d08-908c-370e96a936ed,162,FAILED_BREAKOUT,BEARISH,MEDIUM,TIME_STOP,0,2026-06-25 14:48:00 IST,2026-07-03 09:15:25 IST,11187.4,24087.3,24087.3,0.0,,24087.3,24115.050000000003,24017.3,23789.25,24100,PE,,,,,,,,0.8489,9560330,8115510,0.5,0.03,CLOSED,Price closed back past level 24090.050000000003 | Option writers did not cover their positions | Target 2 set at structural support: 23789.25,2026-06-25T09:18:00+00:00,2026-07-03T03:45:25.221722+00:00
dd02e5da-9af2-422e-8776-4f3c6a94de14,163,OI_WALL_REJECTION,BULLISH,HIGH,T1_HIT,1,2026-06-29 09:42:00 IST,2026-06-29 10:51:19 IST,69.3,24076.0,24066.4,-9.6,-341.79,24076.0,24025.0,24111.0,24146.0,24100,CE,0.0,9099.85,10.0,77.9,53.68979,94.51485000000001,0.47471,0.5507,19675890,10835370,-0.11,4.91,CLOSED,"Price approached massive OI wall at 24050.0 | Wall size: 80.8L contracts (+5.2% change) | Candle showed clear rejection/bounce | Option writers defended the level (OI did not drop) | Option Sizing: 0 lots suggested | Capital: ₹9,099.85 | Risk: 10.0% | Option SL: ₹53.69 | Option Target: ₹94.51 | Premium: ₹77.90 | Delta: +0.4747",2026-06-29T04:12:00+00:00,2026-06-29T05:21:19.615000+00:00
81e9d686-5282-41a5-93d3-3953e0e51ac9,164,OI_WALL_REJECTION,BULLISH,HIGH,SL_HIT,0,2026-06-29 10:26:00 IST,2026-06-29 10:51:20 IST,25.3,24108.9,24066.4,-42.5,-1706.75,24108.9,24075.0,24143.9,24178.9,24100,CE,0.0,9099.07,10.0,94.25,76.09824499999922,112.99074999999999,0.53545,0.6645,21130005,14040910,-2.06,5.04,,"Price approached massive OI wall at 24100.0 | Wall size: 140.4L contracts (+5.0% change) | Candle showed clear rejection/bounce | Option writers defended the level (OI did not drop) | Option Sizing: 0 lots suggested | Capital: ₹9,099.07 | Risk: 10.0% | Option SL: ₹76.10 | Option Target: ₹112.99 | Premium: ₹94.25 | Delta: +0.5354",2026-06-29T04:56:00+00:00,2026-06-29T05:21:20.173805+00:00
987ef651-d542-4135-956c-b91541cf361d,165,OI_WALL_REJECTION,BEARISH,HIGH,SL_HIT,0,2026-06-29 12:32:00 IST,2026-06-29 13:09:39 IST,37.7,23946.35,23976.35,-30.0,-1099.48,23946.35,23975.0,23911.35,23876.35,23950,PE,0.0,9089.91,10.0,89.8,75.79989099999929,106.9031,-0.48866,1.8563,4523155,8396505,5.74,-4.15,,"Price approached massive OI wall at 23950.0 | Wall size: 45.2L contracts (+5.7% change) | Candle showed clear rejection/bounce | Option writers defended the level (OI did not drop) | Option Sizing: 0 lots suggested | Capital: ₹9,089.91 | Risk: 10.0% | Option SL: ₹75.80 | Option Target: ₹106.90 | Premium: ₹89.80 | Delta: -0.4887",2026-06-29T07:02:00+00:00,2026-06-29T07:39:39.580364+00:00
